label_name_embeddings,label_name_axis,cosine_value,sqrt(1-cosine^2)
Stratégie,avancé,0.14092559945882166,0.9900201893987677
Stratégie,collaboratif,-0.11611845981575303,0.993235371545948
Stratégie,différenciant,-0.016893123193241138,0.9998573010128885
Stratégie,fonctionnel,0.2410549584402407,0.9705114667078251
Stratégie,généraliste,0.07678172993118486,0.9970479256027639
Stratégie,innovant,-0.13019143673028064,0.9914888752790448
Stratégie,intégré,0.07433748904892187,0.9972331411068835
Stratégie,opérationnel,0.26177835816757516,0.9651280180344413
Stratégie,personnalisé,0.08116228609598945,0.9967008996261982
Stratégie,reconnu,0.10773044245224589,0.9941801405022348
Stratégie,sécurisé,-0.08333105815077325,0.9965219188494915
Stratégie,souverain,0.25651432676014274,0.9665404286250994
Stratégie,spécialisé,-0.1443800550489949,0.989522308846066
Stratégie,stratégique,-0.0274275677936542,0.9996237934967958
Stratégie,structuré,-0.11391283626056876,0.9934907476846842
Conseil stratégique et transformation,avancé,0.16411533239128764,0.9864411577352686
Conseil stratégique et transformation,collaboratif,0.10227109692649189,0.9947565645591147
Conseil stratégique et transformation,différenciant,0.16761481188012245,0.9858525624242153
Conseil stratégique et transformation,fonctionnel,0.10120567068965898,0.9948655246917828
Conseil stratégique et transformation,généraliste,0.013455658181125183,0.9999094685334832
Conseil stratégique et transformation,innovant,0.2233771296210044,0.9747320954817693
Conseil stratégique et transformation,intégré,0.11282560634499171,0.9936148059247533
Conseil stratégique et transformation,opérationnel,0.04826846224503123,0.9988343984627782
Conseil stratégique et transformation,personnalisé,0.03735766918423378,0.9993019586456945
Conseil stratégique et transformation,reconnu,0.12530220374530132,0.9921186207992323
Conseil stratégique et transformation,sécurisé,0.16448176340978182,0.9863801242450136
Conseil stratégique et transformation,souverain,0.29675206201132626,0.9549545610614287
Conseil stratégique et transformation,spécialisé,-0.0215924775092511,0.9997668552792758
Conseil stratégique et transformation,stratégique,0.092003793433949,0.9957586564995372
Conseil stratégique et transformation,structuré,0.024271539864962534,0.9997054027825315
Conseil stratégique IA,avancé,0.19567619173949777,0.9806685617405747
Conseil stratégique IA,collaboratif,0.13661692931390212,0.9906239521760214
Conseil stratégique IA,différenciant,0.196889327082914,0.9804257202260849
Conseil stratégique IA,fonctionnel,0.1165487896674452,0.9931849674793984
Conseil stratégique IA,généraliste,0.15625662775455282,0.9877164908427798
Conseil stratégique IA,innovant,0.18988881986844897,0.9818055999478551
Conseil stratégique IA,intégré,0.12929057501207764,0.9916067502861436
Conseil stratégique IA,opérationnel,0.06512698897243781,0.9978769840553413
Conseil stratégique IA,personnalisé,0.019972021763898683,0.999800539281042
Conseil stratégique IA,reconnu,0.10009252649788837,0.9949781334980531
Conseil stratégique IA,sécurisé,0.13621883619396222,0.9906787716843247
Conseil stratégique IA,souverain,0.33699363087528444,0.941506926554177
Conseil stratégique IA,spécialisé,-0.06714779646899233,0.9977430397799619
Conseil stratégique IA,stratégique,0.13294714304492042,0.991123129160143
Conseil stratégique IA,structuré,0.10630328987991869,0.9943337520977079
Conseil en IA,avancé,0.15216211246318082,0.9883555491475435
Conseil en IA,collaboratif,0.038531613733243986,0.9992573816305347
Conseil en IA,différenciant,0.1517689998382633,0.9884159907084128
Conseil en IA,fonctionnel,0.07482312068968337,0.9971968213999968
Conseil en IA,généraliste,0.03188874066145338,0.9994914247851387
Conseil en IA,innovant,0.02933244467902977,0.9995697112703804
Conseil en IA,intégré,0.10400288543701412,0.994576995421056
Conseil en IA,opérationnel,-0.1698756676686205,0.9854655029650405
Conseil en IA,personnalisé,0.06332445497151405,0.997992992662053
Conseil en IA,reconnu,0.05585923173702621,0.9984386542145437
Conseil en IA,sécurisé,0.027333293222227082,0.9996263757432713
Conseil en IA,souverain,0.1327463898583066,0.9911500370678429
Conseil en IA,spécialisé,-0.025498874130519877,0.9996748508480524
Conseil en IA,stratégique,0.08175439138395332,0.9966525068896578
Conseil en IA,structuré,0.16294998164218963,0.9866343311900362
